,repetitions,ecm_sqrt,log_probability
0,10,39.577771539084914,-101.80256577684239
1,10,37.58324094593227,-100.23078065108425
2,10,32.92187722472703,-99.12079580577355
3,10,38.44151401805085,-100.67864994116043
4,10,32.72690025040563,-97.89176672524866
5,10,38.93969696851787,-101.3431961902978
6,10,39.54743986657038,-102.11527042233645
7,10,36.819831612868626,-99.9640294664743
8,10,35.94857438063435,-100.60849245392097
9,10,35.55769958813421,-99.42546164875746
10,10,43.56833712686313,-104.92060767616054
11,10,39.163758757300094,-101.34886184763573
12,10,42.70480066690395,-104.41910234298344
13,10,35.919354114460354,-100.47223849160576
14,10,36.845623892125914,-100.65688950359187
15,10,42.06067046541222,-102.66895501577807
16,10,38.33079701754191,-100.90374246902172
17,10,44.97777228809804,-106.64657951606094
18,10,40.506172369158755,-103.55676083178747
19,10,36.908671067921155,-102.49647505476557
20,20,30.44092639851816,-98.37292941463456
21,20,33.37289319193048,-99.49797760819
22,20,28.59982517429084,-95.5430475788661
23,20,28.464012366495346,-95.98680540509204
24,20,33.95364487061735,-101.7620083781413
25,20,32.00468715672753,-98.31462463668508
26,20,36.4417343165772,-102.5062525048333
27,20,24.38852189043034,-92.87940700811727
28,20,28.594579905989175,-98.09455158570829
29,20,28.94131994225557,-99.1551901189178
30,20,33.145889639591815,-106.64970664745196
31,20,30.630866784993206,-97.26918478115125
32,20,32.76736181019156,-99.94256385599573
33,20,32.12008717298258,-99.95549077250705
34,20,32.54842546114942,-100.23113070627957
35,20,30.400657887618156,-98.02168494551474
36,20,35.22144233276088,-103.37825888025745
37,20,31.026601489689455,-98.85232659820308
38,20,27.722734352873633,-95.11614527347533
39,20,31.590346626778253,-98.02748389657309
40,30,29.335132520580164,-102.32661446114369
41,30,28.606817369291537,-100.867470689243
42,30,27.516358770738545,-99.31583707034831
43,30,27.320322106446696,-100.327339819238
44,30,25.142593342771942,-94.54193687611783
45,30,27.024988436630274,-98.28557399506343
46,30,26.796454989419775,-98.6152857838088
47,30,25.35645874328669,-96.10019786765062
48,30,26.95273641024228,-96.7041171992973
49,30,29.923235119217974,-101.25268672383245
50,30,24.684002916869055,-94.7122983516095
51,30,26.263091973337794,-97.11915641075821
52,30,27.04810529408668,-98.33167223359077
53,30,28.973263537268288,-99.78140999817468
54,30,31.117519181322923,-102.54141733200318
55,30,27.32489707208428,-99.73750365444731
56,30,28.11494264621573,-97.50023033744883
57,30,25.723530084341068,-97.52396119332256
58,30,34.84537272006141,-108.33929828705811
59,30,33.628856656151726,-105.92113569573209
60,40,21.658716490133944,-91.36595853277213
61,40,28.863471724655717,-103.2886019087104
62,40,25.406692031825003,-96.53643098200769
63,40,29.413432305666063,-102.58225167111256
64,40,24.655628160726305,-95.96286987887284
65,40,26.119915773217954,-98.36280719544409
66,40,24.922881053361387,-95.39043056725714
67,40,29.109276871815283,-100.61280020607836
68,40,23.901882771028728,-94.63408166493419
69,40,27.11180554666177,-100.17207992564485
70,40,28.807985004161605,-101.86123152678007
71,40,25.51666122360055,-95.07065983746892
72,40,24.27447218787671,-95.00160747640928
73,40,25.620304447839803,-97.2079875132555
74,40,28.1664694273173,-101.36583542208226
75,40,24.553003889544758,-95.45226881579994
76,40,24.5142815517812,-95.66878021805724
77,40,27.30567706540162,-100.18255603624237
78,40,25.74781544131463,-97.4437942935484
79,40,22.479991103201087,-92.22142465472719
80,50,26.08735325785274,-98.02700308570103
81,50,23.473389188611005,-93.73412245937305
82,50,28.30900916669462,-102.03159300227173
83,50,24.645486402179202,-95.60304154331668
84,50,26.854236164895845,-99.37235973123492
85,50,25.226969695149673,-96.5640105758409
86,50,30.739225754725833,-106.78673287010707
87,50,23.53720459187964,-93.83353304894453
88,50,25.83698898865733,-97.59622386422464
89,50,25.086849144521917,-96.33039569034794
90,50,24.202272620561896,-94.88562845524258
91,50,24.41823089414956,-95.23356551874272
92,50,21.399766353864706,-90.65073733949797
93,50,23.582832739092222,-93.90477730480409
94,50,24.56420159500406,-95.47049409055472
95,50,24.36698586202241,-95.15072336076649
96,50,24.960969532452058,-96.12163345224786
97,50,25.193253065056922,-96.50767790841705
98,50,25.73616132992642,-97.42391217563409
99,50,23.529768379650488,-93.82193514682783
100,60,22.64287967551831,-92.46498059917727
101,60,28.16558183315232,-101.76318441042875
102,60,26.749766354119807,-99.18679329736817
103,60,25.19821422244045,-96.5159621242147
104,60,28.83574171059243,-103.02901258430548
105,60,28.16380656090366,-101.75987072410972
106,60,22.497777668027567,-92.24793414527956
107,60,23.62731470142132,
108,60,23.43181597742693,-93.6695055761516
109,60,23.124662159694356,-93.19564843252759
110,60,23.24865587512534,-93.38618539587287
111,60,23.212065827926647,-93.32985272844908
112,60,25.8602010819715,-97.63598810005325
113,60,27.506362900245463,-100.54706153133779
114,60,28.581462523810778,-102.54521438172432
115,60,25.97691282658507,-97.83646612235569
116,60,26.544302590198146,-98.8239446454323
117,60,23.023900625219873,-93.0415620186918
118,60,23.330237889914454,-93.51210547599675
119,60,25.016994223927064,-96.21441666918123
120,70,23.515952032609693,
121,70,27.72724292099739,
122,70,21.859780419757193,
123,70,25.911387458027022,
124,70,24.673872821265817,
125,70,23.80021008310641,
126,70,24.19917353960668,
127,70,22.28788908802267,
128,70,22.599778759979046,
129,70,22.580965435516703,
130,70,27.098892966318754,
131,70,22.36850464380666,
132,70,22.30246623133863,
133,70,24.314604664686613,
134,70,23.78865275714453,
135,70,27.290108097990377,
136,70,23.447814397081874,
137,70,25.80116276449571,
138,70,25.37222891273055,
139,70,23.949947807876327,
140,80,25.540164447395398,
141,80,22.802412153103454,
142,80,22.856071403458643,
143,80,24.243555844801314,
144,80,24.232209969377536,
145,80,25.56657974778793,
146,80,24.413111231467404,
147,80,24.882724931164592,
148,80,27.494544913491477,
149,80,22.876844187955648,
150,80,22.132555207205517,
151,80,23.085709865629,
152,80,23.332380932943813,
153,80,26.133312074821287,
154,80,25.052943938786914,
155,80,22.19459393636207,
156,80,28.521044861645585,
157,80,25.13165334791963,
158,80,27.76238462380348,
159,80,22.147234590350102,
160,90,23.58495283014151,
161,90,26.114172397378404,
162,90,22.77169295419205,
163,90,22.787057730211682,
164,90,23.035841638629137,
165,90,23.531893251500186,
166,90,24.706274506691614,
167,90,23.818060374430157,
168,90,24.539763650043575,
169,90,24.58759850005689,
170,90,23.623081932719955,
171,90,22.60752087248843,
172,90,22.128036514792722,
173,90,23.50531854708632,
174,90,24.115347810056566,
175,90,22.20247733925203,
176,90,23.430749027719962,
177,90,21.745114393812695,
178,90,24.969981978367546,
179,90,24.14125100321025,
180,100,23.43928326549257,
181,100,22.048809491670973,
182,100,22.144976857066254,
183,100,22.140460699813815,
184,100,26.254523419784256,
185,100,22.68700068321064,
186,100,22.351733713517618,
187,100,24.436652798613807,
188,100,23.615672761960436,
189,100,25.064915718988566,
190,100,23.529768379650488,
191,100,23.13114783144148,
192,100,21.261467494037188,
193,100,25.053941805632103,
194,100,24.876695922087404,
195,100,24.720436889343198,
196,100,25.72450193881312,
197,100,22.1054291973714,
198,100,20.866240677227893,
199,100,22.72443618662518,
