,player,day,mean,variance,intra
0,c0p0,1,117,1810.6722913114936,1
1,c0p1,1,39,30781.428952295395,1
2,c0p2,1,39,30781.428952295395,1
3,c1p0,1,-117,1810.6722913114936,1
4,c1p1,1,-39,30781.428952295395,1
5,c1p2,1,-39,30781.428952295395,1
0,c0p0,1,117,1810.6722913114936,2
1,c0p1,1,58,20520.9526348636,2
2,c0p2,1,58,20520.9526348636,2
3,c1p0,1,-117,1810.6722913114936,2
4,c1p1,1,-58,20520.9526348636,2
5,c1p2,1,-58,20520.9526348636,2
0,c0p0,1,117,1508.8935760929116,3
1,c0p1,1,70,15390.714476147697,3
2,c0p2,1,70,15390.714476147697,3
3,c1p0,1,-117,1508.8935760929116,3
4,c1p1,1,-70,15390.714476147697,3
5,c1p2,1,-70,15390.714476147697,3
0,c0p0,1,116,1508.8935760929116,4
1,c0p1,1,78,12372.927323961872,4
2,c0p2,1,78,12372.927323961872,4
3,c1p0,1,-116,1508.8935760929116,4
4,c1p1,1,-78,12372.927323961872,4
5,c1p2,1,-78,12372.927323961872,4
0,c0p0,1,116,1508.8935760929116,5
1,c0p1,1,83,10260.4763174318,5
2,c0p2,1,83,10260.4763174318,5
3,c1p0,1,-116,1508.8935760929116,5
4,c1p1,1,-83,10260.4763174318,5
5,c1p2,1,-83,10260.4763174318,5
0,c0p0,1,116,1508.8935760929116,6
1,c0p1,1,87,8751.582741338885,6
2,c0p2,1,87,8751.582741338885,6
3,c1p0,1,-116,1508.8935760929116,6
4,c1p1,1,-87,8751.582741338885,6
5,c1p2,1,-87,8751.582741338885,6
0,c0p0,1,116,1508.8935760929116,7
1,c0p1,1,91,7544.467880464557,7
2,c0p2,1,91,7544.467880464557,7
3,c1p0,1,-116,1508.8935760929116,7
4,c1p1,1,-91,7544.467880464557,7
5,c1p2,1,-91,7544.467880464557,7
0,c0p0,1,116,1508.8935760929116,8
1,c0p1,1,93,6639.1317348088105,8
2,c0p2,1,93,6639.1317348088105,8
3,c1p0,1,-116,1508.8935760929116,8
4,c1p1,1,-93,6639.1317348088105,8
5,c1p2,1,-93,6639.1317348088105,8
0,c0p0,1,116,1508.8935760929116,9
1,c0p1,1,95,6035.574304371647,9
2,c0p2,1,95,6035.574304371647,9
3,c1p0,1,-116,1508.8935760929116,9
4,c1p1,1,-95,6035.574304371647,9
5,c1p2,1,-95,6035.574304371647,9
0,c0p0,1,116,1508.8935760929116,10
1,c0p1,1,97,5432.016873934481,10
2,c0p2,1,97,5432.016873934481,10
3,c1p0,1,-116,1508.8935760929116,10
4,c1p1,1,-97,5432.016873934481,10
5,c1p2,1,-97,5432.016873934481,10
0,c0p0,1,116,1207.1148608743292,11
1,c0p1,1,98,5130.2381587159,11
2,c0p2,1,98,5130.2381587159,11
3,c1p0,1,-116,1207.1148608743292,11
4,c1p1,1,-98,5130.2381587159,11
5,c1p2,1,-98,5130.2381587159,11
0,c0p0,1,116,1207.1148608743292,12
1,c0p1,1,100,4526.680728278734,12
2,c0p2,1,100,4526.680728278734,12
3,c1p0,1,-116,1207.1148608743292,12
4,c1p1,1,-100,4526.680728278734,12
5,c1p2,1,-100,4526.680728278734,12
0,c0p0,1,116,1207.1148608743292,13
1,c0p1,1,101,4224.902013060152,13
2,c0p2,1,101,4224.902013060152,13
3,c1p0,1,-116,1207.1148608743292,13
4,c1p1,1,-101,4224.902013060152,13
5,c1p2,1,-101,4224.902013060152,13
0,c0p0,1,116,1207.1148608743292,14
1,c0p1,1,102,3923.12329784157,14
2,c0p2,1,102,3923.12329784157,14
3,c1p0,1,-116,1207.1148608743292,14
4,c1p1,1,-102,3923.12329784157,14
5,c1p2,1,-102,3923.12329784157,14
0,c0p0,1,116,1207.1148608743292,15
1,c0p1,1,102,3923.12329784157,15
2,c0p2,1,102,3923.12329784157,15
3,c1p0,1,-116,1207.1148608743292,15
4,c1p1,1,-102,3923.12329784157,15
5,c1p2,1,-102,3923.12329784157,15
0,c0p0,1,116,1207.1148608743292,16
1,c0p1,1,103,3621.344582622987,16
2,c0p2,1,103,3621.344582622987,16
3,c1p0,1,-116,1207.1148608743292,16
4,c1p1,1,-103,3621.344582622987,16
5,c1p2,1,-103,3621.344582622987,16
0,c0p0,1,116,1207.1148608743292,17
1,c0p1,1,104,3319.5658674044053,17
2,c0p2,1,104,3319.5658674044053,17
3,c1p0,1,-116,1207.1148608743292,17
4,c1p1,1,-104,3319.5658674044053,17
5,c1p2,1,-104,3319.5658674044053,17
0,c0p0,1,116,1207.1148608743292,18
1,c0p1,1,104,3319.5658674044053,18
2,c0p2,1,104,3319.5658674044053,18
3,c1p0,1,-116,1207.1148608743292,18
4,c1p1,1,-104,3319.5658674044053,18
5,c1p2,1,-104,3319.5658674044053,18
0,c0p0,1,116,1207.1148608743292,19
1,c0p1,1,105,3017.7871521858233,19
2,c0p2,1,105,3017.7871521858233,19
3,c1p0,1,-116,1207.1148608743292,19
4,c1p1,1,-105,3017.7871521858233,19
5,c1p2,1,-105,3017.7871521858233,19
0,c0p0,1,116,1207.1148608743292,20
1,c0p1,1,105,3017.7871521858233,20
2,c0p2,1,105,3017.7871521858233,20
3,c1p0,1,-116,1207.1148608743292,20
4,c1p1,1,-105,3017.7871521858233,20
5,c1p2,1,-105,3017.7871521858233,20
0,c0p0,1,116,1207.1148608743292,21
1,c0p1,1,106,2716.0084369672404,21
2,c0p2,1,106,2716.0084369672404,21
3,c1p0,1,-116,1207.1148608743292,21
4,c1p1,1,-106,2716.0084369672404,21
5,c1p2,1,-106,2716.0084369672404,21
0,c0p0,1,116,1207.1148608743292,22
1,c0p1,1,106,2716.0084369672404,22
2,c0p2,1,106,2716.0084369672404,22
3,c1p0,1,-116,1207.1148608743292,22
4,c1p1,1,-106,2716.0084369672404,22
5,c1p2,1,-106,2716.0084369672404,22
0,c0p0,1,116,1207.1148608743292,23
1,c0p1,1,107,2414.2297217486584,23
2,c0p2,1,107,2414.2297217486584,23
3,c1p0,1,-116,1207.1148608743292,23
4,c1p1,1,-107,2414.2297217486584,23
5,c1p2,1,-107,2414.2297217486584,23
0,c0p0,1,116,905.3361456557468,24
1,c0p1,1,107,2414.2297217486584,24
2,c0p2,1,107,2414.2297217486584,24
3,c1p0,1,-116,905.3361456557468,24
4,c1p1,1,-107,2414.2297217486584,24
5,c1p2,1,-107,2414.2297217486584,24
0,c0p0,1,116,905.3361456557468,25
1,c0p1,1,107,2414.2297217486584,25
2,c0p2,1,107,2414.2297217486584,25
3,c1p0,1,-115,905.3361456557468,25
4,c1p1,1,-107,2414.2297217486584,25
5,c1p2,1,-107,2414.2297217486584,25
0,c0p0,1,116,905.3361456557468,26
1,c0p1,1,107,2112.451006530076,26
2,c0p2,1,107,2112.451006530076,26
3,c1p0,1,-115,905.3361456557468,26
4,c1p1,1,-107,2112.451006530076,26
5,c1p2,1,-107,2112.451006530076,26
0,c0p0,1,116,905.3361456557468,27
1,c0p1,1,108,2112.451006530076,27
2,c0p2,1,108,2112.451006530076,27
3,c1p0,1,-115,905.3361456557468,27
4,c1p1,1,-108,2112.451006530076,27
5,c1p2,1,-108,2112.451006530076,27
0,c0p0,1,115,905.3361456557468,28
1,c0p1,1,108,2112.451006530076,28
2,c0p2,1,108,2112.451006530076,28
3,c1p0,1,-115,905.3361456557468,28
4,c1p1,1,-108,2112.451006530076,28
5,c1p2,1,-108,2112.451006530076,28
0,c0p0,1,115,905.3361456557468,29
1,c0p1,1,108,2112.451006530076,29
2,c0p2,1,108,2112.451006530076,29
3,c1p0,1,-115,905.3361456557468,29
4,c1p1,1,-108,2112.451006530076,29
5,c1p2,1,-108,2112.451006530076,29
0,c0p0,1,115,905.3361456557468,30
1,c0p1,1,108,1810.6722913114936,30
2,c0p2,1,108,1810.6722913114936,30
3,c1p0,1,-115,905.3361456557468,30
4,c1p1,1,-108,1810.6722913114936,30
5,c1p2,1,-108,1810.6722913114936,30
0,c0p0,1,115,905.3361456557468,31
1,c0p1,1,109,1810.6722913114936,31
2,c0p2,1,109,1810.6722913114936,31
3,c1p0,1,-115,905.3361456557468,31
4,c1p1,1,-109,1810.6722913114936,31
5,c1p2,1,-109,1810.6722913114936,31
0,c0p0,1,115,905.3361456557468,32
1,c0p1,1,109,1810.6722913114936,32
2,c0p2,1,109,1810.6722913114936,32
3,c1p0,1,-115,905.3361456557468,32
4,c1p1,1,-109,1810.6722913114936,32
5,c1p2,1,-109,1810.6722913114936,32
0,c0p0,1,115,905.3361456557468,33
1,c0p1,1,109,1810.6722913114936,33
2,c0p2,1,109,1810.6722913114936,33
3,c1p0,1,-115,905.3361456557468,33
4,c1p1,1,-109,1810.6722913114936,33
5,c1p2,1,-109,1810.6722913114936,33
0,c0p0,1,115,905.3361456557468,34
1,c0p1,1,109,1810.6722913114936,34
2,c0p2,1,109,1810.6722913114936,34
3,c1p0,1,-115,905.3361456557468,34
4,c1p1,1,-109,1810.6722913114936,34
5,c1p2,1,-109,1810.6722913114936,34
0,c0p0,1,115,905.3361456557468,35
1,c0p1,1,109,1810.6722913114936,35
2,c0p2,1,109,1810.6722913114936,35
3,c1p0,1,-115,905.3361456557468,35
4,c1p1,1,-109,1810.6722913114936,35
5,c1p2,1,-109,1810.6722913114936,35
0,c0p0,1,115,905.3361456557468,36
1,c0p1,1,110,1508.8935760929116,36
2,c0p2,1,110,1508.8935760929116,36
3,c1p0,1,-115,905.3361456557468,36
4,c1p1,1,-110,1508.8935760929116,36
5,c1p2,1,-110,1508.8935760929116,36
0,c0p0,1,115,905.3361456557468,37
1,c0p1,1,110,1508.8935760929116,37
2,c0p2,1,110,1508.8935760929116,37
3,c1p0,1,-115,905.3361456557468,37
4,c1p1,1,-110,1508.8935760929116,37
5,c1p2,1,-110,1508.8935760929116,37
0,c0p0,1,115,905.3361456557468,38
1,c0p1,1,110,1508.8935760929116,38
2,c0p2,1,110,1508.8935760929116,38
3,c1p0,1,-115,905.3361456557468,38
4,c1p1,1,-110,1508.8935760929116,38
5,c1p2,1,-110,1508.8935760929116,38
0,c0p0,1,115,905.3361456557468,39
1,c0p1,1,110,1508.8935760929116,39
2,c0p2,1,110,1508.8935760929116,39
3,c1p0,1,-115,905.3361456557468,39
4,c1p1,1,-110,1508.8935760929116,39
5,c1p2,1,-110,1508.8935760929116,39
0,c0p0,1,115,905.3361456557468,40
1,c0p1,1,110,1508.8935760929116,40
2,c0p2,1,110,1508.8935760929116,40
3,c1p0,1,-115,905.3361456557468,40
4,c1p1,1,-110,1508.8935760929116,40
5,c1p2,1,-110,1508.8935760929116,40
